Well;Depth;GR;NPHI;RHOB;PEF;DT;RD_LOG;VSH;SW;KLOGH;PHIF;PHID;N-D;Id_discreto;Lithofacies
F-14;3000.00;52.0500;0.2250;2.5140;4.2570;81.2660;0.9052;0.4330;0.0760;0.0010;0.0778;0.0778;0.1470;1;F-TIDAL BAR
F-14;3000.25;44.4970;0.2010;2.4690;4.1210;79.6720;1.3242;0.3780;0.0590;0.0010;0.1034;0.1034;0.0980;1;F-TIDAL BAR
F-14;3000.50;36.9450;0.1780;2.4240;3.9840;78.0790;1.5334;0.3080;0.0350;0.0010;0.1290;0.1290;0.0490;1;F-TIDAL BAR
F-14;3000.75;30.2810;0.1760;2.3620;3.9420;77.1300;2.0685;0.2290;0.0170;24.9540;0.1646;0.1646;0.0120;1;F-TIDAL BAR
F-14;3001.00;23.6170;0.1750;2.3000;3.9000;76.1810;2.3010;0.1810;0.0150;66.2320;0.2003;0.2003;-0.0260;1;F-TIDAL BAR
F-14;3001.25;23.1640;0.1660;2.3780;3.4700;77.4410;2.0959;0.1630;0.0100;103.6080;0.1553;0.1553;0.0110;1;F-TIDAL BAR
F-14;3001.50;22.7110;0.1580;2.4570;3.0410;78.7020;1.6938;0.1560;0.0180;71.3440;0.1103;0.1103;0.0480;1;F-TIDAL BAR
F-14;3001.75;22.6750;0.1590;2.4190;3.3270;79.8970;1.6279;0.1490;0.0210;86.5840;0.1322;0.1322;0.0270;1;F-TIDAL BAR
F-14;3002.00;22.6400;0.1600;2.3800;3.6140;81.0920;1.5503;0.1500;0.0230;109.0570;0.1542;0.1542;0.0060;1;F-TIDAL BAR
F-14;3002.25;22.3680;0.1570;2.3800;3.6920;77.3760;1.5418;0.1520;0.0250;93.2840;0.1545;0.1545;0.0030;1;F-TIDAL BAR
F-14;3002.50;22.0960;0.1550;2.3790;3.7710;73.6600;1.5332;0.1540;0.0270;94.6810;0.1547;0.1547;0.0000;1;F-TIDAL BAR
F-14;3002.75;23.6800;0.1550;2.3840;3.4720;75.2510;1.5717;0.1550;0.0270;84.3640;0.1518;0.1518;0.0030;1;F-TIDAL BAR
F-14;3003.00;25.2650;0.1550;2.3890;3.1720;76.8420;1.6071;0.1690;0.0260;57.2890;0.1490;0.1490;0.0060;1;F-TIDAL BAR
F-14;3003.25;24.8010;0.1520;2.4060;3.2730;75.6730;1.6411;0.1740;0.0260;51.7400;0.1394;0.1394;0.0120;1;F-TIDAL BAR
