Well;Depth;GR;NPHI;RHOB;PEF;DT;RD_LOG;VSH;SW;KLOGH;PHIF;PHID;N-D;Cluster_all;PCA_1;PCA_2;Id_discreto;Lithofacies
F-4;3249.00;43.8171;0.2505;2.5000;5.1277;85.5054;0.4699;0.342;1.000;0.001;0.058;0.086;0.165;3;-0.5514;-2.6143;1;F-TIDAL BAR
F-4;3249.25;32.5366;0.2097;2.3769;5.5389;83.0036;0.6913;0.206;0.645;0.001;0.141;0.156;0.054;3;-0.6696;-2.7700;1;F-TIDAL BAR
F-4;3249.50;21.2560;0.1689;2.2538;3.1160;80.5017;0.8372;0.123;0.236;584.160;0.215;0.226;-0.057;3;-0.7879;0.0265;1;F-TIDAL BAR
F-4;3249.75;23.0182;0.1685;2.2396;3.1586;81.8976;1.1020;0.110;0.194;869.449;0.218;0.235;-0.066;3;-0.5881;0.4582;1;F-TIDAL BAR
F-4;3250.00;24.7804;0.1682;2.2254;3.2206;83.2934;1.2652;0.123;0.171;620.089;0.218;0.243;-0.074;3;-0.3868;0.3870;1;F-TIDAL BAR
F-4;3250.25;24.7218;0.1745;2.2236;3.2439;84.7777;1.3972;0.138;0.144;469.700;0.223;0.244;-0.069;3;-0.1568;0.3909;1;F-TIDAL BAR
F-4;3250.50;24.6633;0.1808;2.2218;3.1241;86.2620;1.4983;0.134;0.130;602.326;0.232;0.245;-0.064;3;0.0732;0.6980;1;F-TIDAL BAR
F-4;3250.75;24.9185;0.1869;2.2141;3.0509;85.8848;1.5534;0.140;0.132;517.219;0.232;0.249;-0.062;3;0.1745;0.7600;1;F-TIDAL BAR
F-4;3251.00;25.1738;0.1929;2.2063;3.2393;85.5075;1.6022;0.149;0.130;442.220;0.235;0.254;-0.061;3;0.2750;0.5820;1;F-TIDAL BAR
F-4;3251.25;26.6152;0.1905;2.2066;3.4153;86.8903;1.6134;0.144;0.130;539.121;0.239;0.253;-0.063;3;0.3601;0.5005;1;F-TIDAL BAR
F-4;3251.50;28.0566;0.1881;2.2068;3.3315;88.2731;1.6242;0.156;0.135;385.372;0.237;0.253;-0.065;3;0.4458;0.4786;1;F-TIDAL BAR
F-4;3251.75;29.4479;0.1876;2.2072;3.3584;87.0620;1.6226;0.158;0.137;353.908;0.236;0.253;-0.065;3;0.3344;0.4297;1;F-TIDAL BAR
F-4;3252.00;30.8391;0.1870;2.2076;3.2962;85.8509;1.6210;0.163;0.139;331.066;0.239;0.253;-0.066;3;0.2215;0.4690;1;F-TIDAL BAR
F-4;3252.25;27.7674;0.1819;2.2027;3.2486;85.7980;1.6121;0.174;0.139;246.292;0.238;0.256;-0.074;3;0.1654;0.4432;1;F-TIDAL BAR
F-4;3252.50;24.6956;0.1768;2.1977;3.3729;85.7451;1.6031;0.152;0.137;451.090;0.242;0.258;-0.082;3;0.1099;0.4662;1;F-TIDAL BAR
F-4;3252.75;25.6802;0.1889;2.1998;3.1638;86.8363;1.5961;0.141;0.139;535.904;0.235;0.257;-0.068;3;0.3698;0.7124;1;F-TIDAL BAR
F-4;3253.00;26.6648;0.2009;2.2019;3.2779;87.9276;1.5889;0.149;0.141;462.826;0.238;0.256;-0.055;3;0.6283;0.5478;1;F-TIDAL BAR
F-4;3253.25;28.4642;0.1944;2.2089;3.3133;88.0548;1.5810;0.150;0.149;335.154;0.222;0.252;-0.058;3;0.5073;0.4159;1;F-TIDAL BAR
F-4;3253.50;30.2635;0.1878;2.2158;3.2918;88.1821;1.5730;0.159;0.152;238.775;0.215;0.248;-0.060;3;0.3855;0.3586;1;F-TIDAL BAR
F-4;3253.75;28.6372;0.1905;2.2026;3.4532;87.5090;1.5638;0.174;0.145;234.358;0.236;0.256;-0.065;3;0.4402;0.1976;1;F-TIDAL BAR
F-4;3254.00;27.0110;0.1931;2.1893;3.5558;86.8360;1.5544;0.165;0.143;339.368;0.243;0.263;-0.070;3;0.4941;0.1687;1;F-TIDAL BAR
F-4;3254.25;26.9977;0.1929;2.1968;3.2720;87.2386;1.5461;0.153;0.142;447.936;0.242;0.259;-0.066;3;0.4825;0.4995;1;F-TIDAL BAR
F-4;3254.50;26.9843;0.1927;2.2042;3.4786;87.6413;1.5376;0.158;0.145;371.269;0.239;0.255;-0.062;3;0.4714;0.2457;1;F-TIDAL BAR
F-4;3254.75;24.4877;0.1865;2.2093;3.2112;86.8734;1.5282;0.151;0.149;407.182;0.234;0.252;-0.065;3;0.2809;0.5082;1;F-TIDAL BAR
F-4;3255.00;21.9911;0.1804;2.2144;3.1868;86.1055;1.5186;0.127;0.147;745.409;0.233;0.249;-0.069;3;0.0918;0.7631;1;F-TIDAL BAR
F-4;3255.25;22.6892;0.1767;2.2107;2.9049;86.9799;1.5212;0.112;0.145;1097.692;0.233;0.251;-0.074;1;0.1359;1.2775;1;F-TIDAL BAR
F-4;3255.50;23.3873;0.1731;2.2071;2.9982;87.8542;1.5238;0.122;0.146;864.732;0.234;0.253;-0.080;1;0.1809;1.0274;1;F-TIDAL BAR
F-4;3255.75;22.4066;0.1717;2.2117;2.9539;87.4315;1.5246;0.130;0.147;681.268;0.232;0.250;-0.079;1;0.0957;0.9377;1;F-TIDAL BAR
F-4;3256.00;21.4258;0.1703;2.2162;3.2046;87.0088;1.5254;0.123;0.144;855.857;0.236;0.248;-0.078;3;0.0111;0.8326;1;F-TIDAL BAR
F-4;3256.25;24.6100;0.1718;2.2579;3.1294;85.0760;1.5307;0.126;0.150;670.209;0.225;0.224;-0.052;3;-0.3691;0.7743;1;F-TIDAL BAR
F-4;3256.50;27.7941;0.1733;2.2996;3.1630;83.1432;1.5360;0.146;0.165;283.655;0.206;0.200;-0.027;3;-0.7492;0.4721;1;F-TIDAL BAR
F-4;3256.75;28.9858;0.1851;2.2772;3.2087;84.8010;1.5475;0.161;0.172;167.976;0.201;0.213;-0.028;3;-0.3027;0.3588;1;F-TIDAL BAR
F-4;3257.00;30.1774;0.1970;2.2548;3.0410;86.4587;1.5587;0.172;0.173;158.231;0.212;0.226;-0.029;3;0.1452;0.5176;1;F-TIDAL BAR
F-4;3257.25;31.0814;0.1983;2.2235;3.1317;85.0432;1.5593;0.174;0.159;188.127;0.225;0.244;-0.045;3;0.2249;0.4560;1;F-TIDAL BAR
F-4;3257.50;31.9854;0.1996;2.1921;3.0799;83.6276;1.5599;0.186;0.157;155.202;0.231;0.262;-0.062;3;0.3052;0.4808;1;F-TIDAL BAR
F-4;3257.75;28.8642;0.1969;2.1859;3.3128;83.7965;1.5433;0.177;0.140;273.185;0.248;0.265;-0.068;3;0.3106;0.3340;1;F-TIDAL BAR
F-4;3258.00;25.7431;0.1942;2.1796;3.3263;83.9654;1.5260;0.148;0.130;581.646;0.250;0.269;-0.075;3;0.3166;0.5249;1;F-TIDAL BAR
F-4;3258.25;26.2632;0.2025;2.1760;3.3131;86.1524;1.5326;0.154;0.129;505.889;0.250;0.271;-0.068;3;0.6477;0.4895;1;F-TIDAL BAR
